id;modelo;tipo;precio;matricula;marca;jhi_date
1;mobile Fish;COCHE;5808;FTP Savings Account;deposit Tasty Metal Bacon Implementation;2022-11-22T11:45:20
2;Officer;COCHE;43194;intangible;enable Gorgeous Frozen Pants;2022-11-22T06:11:16
3;Licensed Savings Account;COCHE;4645;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;2022-11-22T06:13:58
4;Monitored Bahamian Dollar Investment Account;COCHE;66252;hardware Costa Rica Mayotte;Industrial;2022-11-21T15:33:34
5;Views e-enable Communications;COCHE;4522;software scale interactive;Louisiana Specialist Home Loan Account;2022-11-22T05:09:01
6;scalable;COCHE;98688;index orange;Jewelery;2022-11-22T07:00:07
7;monitor 1080p Checking Account;COCHE;62329;archive Fantastic Plastic Chicken;payment;2022-11-21T21:34:59
8;tangible Mississippi;COCHE;76078;Idaho compress Avon;system Small;2022-11-22T01:13:49
9;red;COCHE;90756;Phased;Saint Lucia white;2022-11-21T13:08:45
10;Money Market Account;COCHE;63340;RSS;mint green e-business EXE;2022-11-22T03:59:24
